ZOOL 409 student sign up (only one student per chemical),Contact (https://www.boisestate.edu/research-gutt-c/) in GUTT group who provided list,Study organism(s),Chemical name,CAS,IUPAC identifier,SMILES notation (2.1.4 PubChem),Links to structures (if available),Chemical formula,M/Z,Molecular weight,literature reference
,Marjorie Matocq UNR,Prunus fasciculata,Prunasin,,"

",,,,,,
,Marjorie Matocq UNR,Prunus fasciculata,amygdalin,,https://pubchem.ncbi.nlm.nih.gov/compound/656516,,,,,,
,Marjorie Matocq UNR,Frangula californica,Emodin,,https://pubchem.ncbi.nlm.nih.gov/compound/3220,,,,,,
,Casey Philbin UNR,Eriogonum spp.,Hordenine,,https://pubchem.ncbi.nlm.nih.gov/compound/68313,,,,,,
,Casey Philbin UNR,Eriogonum spp.,N-methyl-4-methoxyphenethylamine,,https://pubchem.ncbi.nlm.nih.gov/compound/104735,,,,,,
,"Deb Conner from Turi (https://doi.org/10.1016/j.phytochem.2013.11.016) (BSU, Forbey lab,https://www.boisestate.edu/biology/faculty-and-staff/faculty/jennifer-forbey/)",Sagebrush (Artemisia spp),Chrysanthemol,5617-92-5,"[2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropyl]methanol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Trans-chrysanthemal,,"(1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carbaldehyde",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Methyl santolinate,,"methyl 3-ethenyl-2,5-dimethylhex-4-enoate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Santolina triene,2153-66-4,"3-ethenyl-2,5-dimethylhexa-1,4-diene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Oxidosantolinatriene,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Artemisia triene,18383-70-5,"(3E)-2,5,5-trimethylhepta-1,3,6-triene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Santolinolide-A,14804-52-5,"(3S,3aS,5aR,9R,9aS,9bS)-3,5a,9-trimethyl-3,3a,4,5,6,7,8,9,9a,9b-decahydrobenzo[g][1]benzofuran-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Santolinolide-B,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"Artemiseole, artemeseole, arthole",660485-46-3,"6-ethenyl-1,4,4-trimethyl-3-oxabicyclo[3.1.0]hexane",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Rothrockene,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Neolyratol,90823-34-0,(3S)-3-ethenyl-5-methyl-2-methylidenehex-4-en-1-ol,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"1,6,6-Trimethyl-4-ethenyl-exo2-oxabicyclo[3.1.0]hexane",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Lavandulol,498-16-8,(2R)-5-methyl-2-prop-1-en-2-ylhex-4-en-1-ol,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Arbusculone,,"(e)-2-acetyl-5-methyl-5-ethenyl-tetrahydro-furan

5-Methyl-5-vinyltetrahydrofur-2-yl methyl ketone  1-(5-Ethenyl-5-methyloxolan-2-yl)ethanone",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"2,2-Dimethyl-6-isopropenyl-2Hpyran",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"2,3-Dimethyl-6-isopropyl-4Hpyran",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"2-Isopropenyl-5-methylhexatrans-3,5-dien-1-ol",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-pinene,80-56-8,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Camphor,76-22-2,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Methacroleine,78-85-3,2-methylprop-2-enal,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),p-Cymene,99-87-6,1-methyl-4-propan-2-ylbenzene,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Camphene,79-92-5,"2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"Eucalyptol, 1,8-cineole, cineole",470-82-6,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"2,2,-Dimethyl-6acetyl-2H-pyran",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),6-3-Carene,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-phellandrene,99-83-2,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-santolina alcohol,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-terpinene,99-86-5,"1-methyl-4-propan-2-ylcyclohexa-1,3-diene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-terpineol,98-55-5,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-thujene,2867-05-02,2-methyl-5-propan-2-ylbicyclo[3.1.0]hex-2-ene,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-thujone,546-80-5,"(1S,4R,5R)-4-methyl-1-propan-2-ylbicyclo[3.1.0]hexan-3-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Artemisia acetate,3465-88-1,"3,3,6-trimethylhepta-1,5-dien-4-yl acetate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Artemisia alcohol,27644-04-08,"3,3,6-trimethylhepta-1,5-dien-4-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Artemisia ketone,546-49-6,"3,3,6-trimethylhepta-1,5-dien-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Artemisyl acetate,3465-88-1,"3,3,6-trimethylhepta-1,5-dien-4-yl acetate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Beta-ocimene,3779-61-1,"(3E)-3,7-dimethylocta-1,3,6-triene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Beta-pinene,127-91-3,"6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Beta-thujone,471-15-8,"(1S,4S,5R)-4-methyl-1-propan-2-ylbicyclo[3.1.0]hexan-3-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Borneol,507-70-0,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Bornyl acetate,76-49-3,"[(1S,2R,4S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] acetate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Carvacrol,499-75-2,2-methyl-5-propan-2-ylphenol,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Carvone,99-49-0,2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Chrysanthemyl acetate,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Chrysanthenone,0473-06-03,"2,7,7-trimethylbicyclo[3.1.1]hept-2-en-6-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Cis-sabinene hydrate,,"(1S,4R)-4-methyl-1-propan-2-ylbicyclo[3.1.0]hexane",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Fenchone,1195-79-5,"1,3,3-trimethylbicyclo[2.2.1]heptan-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Fenchyl alcohol (fenchol),1632-73-1,"1,3,3-trimethylbicyclo[2.2.1]heptan-2-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Filifolone,4613-37-0,"4,7,7-trimethylbicyclo[3.2.0]hept-3-en-6-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Fraganol,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Fraganyl acetate,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Gamma-terpinene,99-85-4,"1-methyl-4-propan-2-ylcyclohexa-1,4-diene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Geranyl acetate,105-87-3,"[(2E)-3,7-dimethylocta-2,6-dienyl] acetate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Geranyl isobutanoate,2345-24-6,"[(2Z)-3,7-dimethylocta-2,6-dienyl] 2-methylpropanoate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Isolyratol,96203-74-6,"4-ethenyl-2,5-dimethylhexa-1,5-dien-3-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Isopulegol,89-79-2,"(1R,2S,5R)-5-methyl-2-prop-1-en-2-ylcyclohexan-1-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Limonene,138-86-3,1-methyl-4-prop-1-en-2-ylcyclohexene,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Lyratal,,"(2E,4S)-4-ethenyl-2,5-dimethylhexa-2,5-dienal",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Lyratol,,"(2E)-4-ethenyl-2,5-dimethylhexa-2,5-dien-1-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Lyratyl acetate,79549-21-6,"[(2E)-4-ethenyl-2,5-dimethylhexa-2,5-dienyl] acetate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Myrcene,123-35-3,"7-methyl-3-methylideneocta-1,6-diene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Myrtenol,515-00-4,"(6,6-dimethyl-2-bicyclo[3.1.1]hept-2-enyl)methanol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Neral,5392-40-5,"(2Z)-3,7-dimethylocta-2,6-dienal",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Neryl isovalerate,3915-83-1,"[(2Z)-3,7-dimethylocta-2,6-dienyl] 3-methylbutanoate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Nor-chrysanthemic acid methyl ester,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),p-Cymene acetate,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Pinene,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Pinocarvone,30460-92-5,"6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptan-3-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Sabinene,3387-41-5,4-methylidene-1-propan-2-ylbicyclo[3.1.0]hexane,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Sabinol,471-16-9,"(1S,3R,5S)-4-methylidene-1-propan-2-ylbicyclo[3.1.0]hexan-3-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Sabinyl acetate,3536-54-7,(4-methylidene-1-propan-2-yl-3-bicyclo[3.1.0]hexanyl) acetate,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Santolina epoxide,,"2-methyl-2-(5-methylhexa-1,4-dien-3-yl)oxirane",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Santolinic acid,58191-71-2,"(2R,3S)-3-ethenyl-2,5-dimethylhex-4-enoic acid",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Santolinolide-B,70898-18-9,"(3R,4S,5S)-4-ethenyl-3-methyl-5-prop-1-en-2-yloxolan-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Santolinyl ester,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Satonlinolide-C,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Terpinen-4-ol,562-74-3,4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Terpineol,98-55-5,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Terpinolene,586-62-9,1-methyl-4-propan-2-ylidenecyclohexene,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"Thuja-2,4(10)-diene",36262-09-06,4-methylidene-1-propan-2-ylbicyclo[3.1.0]hex-2-ene,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Thujone,546-80-5,"(1S,4R,5R)-4-methyl-1-propan-2-ylbicyclo[3.1.0]hexan-3-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Thujyl alcohol,513-23-5,4-methyl-1-propan-2-ylbicyclo[3.1.0]hexan-3-ol,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"propenyl)-2,2- dimethylcyclopropylmethanol",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Trans-carveol,2102-58-1,"(1S,5R)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Trans-isocarveol,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Trans-para-menth-2-en-1-ol,29803-81-4,"(1R,4S)-1-methyl-4-propan-2-ylcyclohex-2-en-1-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Trans-pinocarveol,1674-08-04,"(1R,3S,5R)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptan-3-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Trans-piperitol,16721-39-4,"(1R,6R)-3-methyl-6-propan-2-ylcyclohex-2-en-1-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Tricyclene,508-32-7,"1,7,7-trimethyltricyclo[2.2.1.02,6]heptane",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Yomogi alcohol,26127-98-0,"(3E)-2,5,5-trimethylhepta-3,6-dien-2-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Arbusculin-A,27652-22-8,"(3aS,5aR,9R,9aS,9bS)-9-hydroxy-5a,9-dimethyl-3-methylidene-3a,4,5,6,7,8,9a,9b-octahydrobenzo[g][1]benzofuran-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Arbusculin-B,4164-19-0,"(3aS,5aR,9bS)-5a,9-dimethyl-3-methylidene-4,5,6,7,8,9b-hexahydro-3aH-benzo[g][1]benzofuran-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Arbusculin-C,33530-71-1,"(3aS,5aR,9aR,9bS)-9a-hydroxy-5a-methyl-3,9-dimethylidene-4,5,6,7,8,9b-hexahydro-3aH-benzo[g][1]benzofuran-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Arbusculin D,145613-48-5,"(5aR,9R,9aS,9bR)-9-hydroxy-3-(hydroxymethyl)-5a,9-dimethyl-5,6,7,8,9a,9b-hexahydro-4H-benzo[g][1]benzofuran-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Arbusculin-E,27652-24-0,"2-[(1S,2S,4aR,8R,8aS)-1,8-dihydroxy-4a,8-dimethyl-1,2,3,4,5,6,7,8a-octahydronaphthalen-2-yl]prop-2-enoic acid",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Colartin,24493-40-1,"(3S,3aS,5aR,9R,9aS,9bS)-9-hydroxy-3,5a,9-trimethyl-3a,4,5,6,7,8,9a,9b-octahydro-3H-benzo[g][1]benzofuran-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Ridentin B,41653-78-5,"(3aS,5aR,6R,8S,9aS,9bS)-6,8-dihydroxy-5a-methyl-3,9-dimethylidene-3a,4,5,6,7,8,9a,9b-octahydrobenzo[g][1]benzofuran-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Rothin-A,33530-72-2,"(3aR,4S,5aR,9bS)-4-hydroxy-5a,9-dimethyl-3-methylidene-4,5,6,7,8,9b-hexahydro-3aH-benzo[g][1]benzofuran-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Rothin-B,33530-73-3,"(3aR,4S,5aR,9aR,9bS)-4,9a-dihydroxy-5a-methyl-3,9-dimethylidene-4,5,6,7,8,9b-hexahydro-3aH-benzo[g][1]benzofuran-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"1-Beta-hydroxysant-3- en-6,12-olide-C(W-A)",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"1-Beta-hydroxysant4(14)-en-6,12-olideC(W-B)",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Artevasin,41744-43-8,"(10Z)-4,9-dihydroxy-10-methyl-3,6-dimethylidene-4,5,7,8,9,11a-hexahydro-3aH-cyclodeca[b]furan-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Novanin,41743-61-7,"[(3aS,6Z,9S,10Z,11aR)-6,10-dimethyl-3-methylidene-2-oxo-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-9-yl] acetate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Badgerin,32557-05-04,"(1R,2S,3S,7S,10S,13S)-2,13-dihydroxy-13-methyl-4,9-dimethylidene-6,14-dioxatricyclo[8.3.1.03,7]tetradecan-5-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Deacetyllaurenobiolide,,"(4S,5E,9E)-4-hydroxy-6,10-dimethyl-3-methylidene-3a,4,7,8,11,11a-hexahydrocyclodeca[b]furan-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Spiciformin,41653-77-4,"(8E)-2-hydroxy-5,9-dimethyl-14-methylidene-4,12-dioxatricyclo[9.3.0.03,5]tetradec-8-en-13-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Tatridin-A,,"(3aS,4R,5E,9S,10Z,11aS)-4,9-dihydroxy-6,10-dimethyl-3-methylidene-3a,4,7,8,9,11a-hexahydrocyclodeca[b]furan-2-one",,,,,,
