Chemical_Name,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Prunasin,OCC1OC(OC(c2ccccc2)C#N)C(C(C1O)O)O,C14H17NO6,295.29,21,6,0.5,4,7,4,69.51,123.17,1.27,-0.71,-1.26,-1.58,-0.66,-0.59,-1.17,19.9,0.0675,Very soluble,-1.4,11.7,0.0397,Very soluble,-0.34,133.0,0.452,Soluble,High,No,No,No,No,No,No,No,-8.61,0,1,0,0,0,0.55,0,0,0,4.21
amygdalin,OCC1OC(OCC2OC(OC(c3ccccc3)C#N)C(C(C2O)O)O)C(C(C1O)O)O,C20H27NO11,457.43,32,6,0.65,7,12,7,101.89,202.32,0.82,-2.71,-3.43,-3.58,-2.71,-2.32,-0.65,103.0,0.226,Very soluble,-0.99,47.1,0.103,Very soluble,1.38,11000.0,24.1,Soluble,Low,No,No,No,No,No,No,No,-11.01,2,1,1,1,4,0.17,0,0,1,5.41
Emodin,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)cc(c1)O,C15H10O5,270.24,20,12,0.07,0,5,3,70.78,94.83,1.8,2.72,1.89,0.36,2.55,1.87,-3.67,0.0574,0.000212,Soluble,-4.37,0.0117,4.31e-05,Moderately soluble,-3.91,0.0336,0.000124,Soluble,High,No,No,Yes,No,No,No,Yes,-6.02,0,0,0,0,0,0.55,1,0,0,2.57
Hordenine,CN(CCc1ccc(cc1)O)C,C10H15NO,165.23,12,6,0.4,3,2,1,50.75,23.47,2.11,2.08,1.5,1.83,1.59,1.82,-2.35,0.743,0.0045,Soluble,-2.2,1.04,0.00627,Soluble,-2.73,0.305,0.00185,Soluble,High,Yes,No,Yes,No,No,No,No,-5.83,0,0,0,0,1,0.55,0,0,1,1.0
N-methyl-4-methoxyphenethylamine,CNCCc1ccc(cc1)OC,C10H15NO,165.23,12,6,0.4,4,2,1,50.32,21.26,2.48,1.72,1.46,1.83,2.19,1.93,-2.05,1.46,0.00883,Soluble,-1.78,2.73,0.0165,Very soluble,-3.77,0.0284,0.000172,Soluble,High,Yes,No,Yes,No,No,No,No,-6.09,0,0,0,0,1,0.55,0,0,1,1.01
Chrysanthemol,OCC1C(C1(C)C)C=C(C)C,C10H18O,154.25,11,0,0.8,2,1,1,48.5,20.23,2.56,2.52,2.22,2.3,2.17,2.35,-2.25,0.864,0.0056,Soluble,-2.59,0.396,0.00256,Soluble,-1.69,3.14,0.0204,Soluble,High,Yes,No,No,No,No,No,No,-5.45,0,1,0,0,2,0.55,0,1,1,3.07
Trans-chrysanthemal,O=CC1C(C1(C)C)C=C(C)C,C10H16O,152.23,11,0,0.7,2,1,0,47.54,17.07,2.36,2.41,2.42,2.2,2.48,2.38,-2.17,1.03,0.00676,Soluble,-2.41,0.592,0.00389,Soluble,-1.81,2.37,0.0156,Soluble,High,Yes,No,No,No,No,No,No,-5.52,0,1,0,0,2,0.55,0,2,1,3.22
Methyl santolinate,C=CC(C(C(=O)OC)C)C=C(C)C,C11H18O2,182.26,13,0,0.55,5,2,0,55.33,26.3,2.89,3.19,2.56,2.67,2.53,2.77,-2.65,0.408,0.00224,Soluble,-3.41,0.0703,0.000386,Soluble,-1.75,3.23,0.0177,Soluble,High,Yes,No,No,No,No,No,No,-5.15,0,0,0,0,1,0.55,0,1,1,3.18
Santolina triene,C=CC(C(=C)C)C=C(C)C,C10H16,136.23,10,0,0.4,3,0,0,48.76,0.0,2.9,4.22,3.33,3.56,2.88,3.38,-3.15,0.0975,0.000716,Soluble,-3.93,0.016,0.000117,Soluble,-2.04,1.24,0.0091,Soluble,Low,Yes,No,No,No,No,No,No,-4.13,0,1,0,0,2,0.55,0,1,2,3.22
Artemisia triene,C=CC(C=CC(=C)C)(C)C,C10H16,136.23,10,0,0.4,3,0,0,48.5,0.0,2.84,4.28,3.33,3.56,2.88,3.38,-3.18,0.0894,0.000656,Soluble,-3.99,0.0139,0.000102,Soluble,-2.04,1.24,0.0091,Soluble,Low,Yes,No,No,No,No,No,No,-4.09,0,1,0,0,2,0.55,0,2,2,3.69
Santolinolide-A,C=CC1C(OC(=O)C1C)C(=C)C,C10H14O2,166.22,12,0,0.5,2,2,0,48.41,26.3,2.22,2.59,1.93,1.98,2.18,2.18,-2.37,0.709,0.00426,Soluble,-2.79,0.269,0.00162,Soluble,-1.59,4.31,0.0259,Soluble,High,Yes,No,No,No,No,No,No,-5.48,0,0,0,0,1,0.55,0,1,1,3.39
Santolinolide-B,C=CC1C(OC(=O)C1C)C(=C)C,C10H14O2,166.22,12,0,0.5,2,2,0,48.41,26.3,2.22,2.59,1.93,1.98,2.18,2.18,-2.37,0.709,0.00426,Soluble,-2.79,0.269,0.00162,Soluble,-1.59,4.31,0.0259,Soluble,High,Yes,No,No,No,No,No,No,-5.48,0,0,0,0,1,0.55,0,1,1,3.39
Rothrockene,CC(=CC1CC1C(=C)C)C,C10H16,136.23,10,0,0.6,2,0,0,47.12,0.0,2.8,3.82,3.16,3.27,2.77,3.17,-2.96,0.15,0.0011,Soluble,-3.52,0.0416,0.000305,Soluble,-1.92,1.65,0.0121,Soluble,Low,Yes,No,No,No,Yes,No,No,-4.42,0,1,0,0,2,0.55,0,1,2,3.32
Neolyratol,C=CC(C(=C)CO)C=C(C)C,C10H16O,152.23,11,0,0.4,4,1,1,49.92,20.23,2.64,2.97,2.3,2.49,2.34,2.55,-2.39,0.619,0.00406,Soluble,-3.06,0.133,0.000875,Soluble,-1.5,4.84,0.0318,Soluble,High,Yes,No,No,No,No,No,No,-5.12,0,1,0,0,2,0.55,0,1,1,2.94
Lavandulol,OCC(C(=C)C)CC=C(C)C,C10H18O,154.25,11,0,0.6,4,1,1,50.4,20.23,2.51,3.02,2.53,2.59,2.35,2.6,-2.43,0.567,0.00367,Soluble,-3.11,0.12,0.000776,Soluble,-1.84,2.2,0.0143,Soluble,High,Yes,No,No,No,No,No,No,-5.1,0,1,0,0,2,0.55,0,1,1,3.04
Alpha-pinene,CC1=CCC2CC1C2(C)C,C10H16,136.23,10,0,0.8,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,2.79,3.44,-3.51,0.0424,0.000311,Soluble,-4.2,0.00859,6.31e-05,Moderately soluble,-2.23,0.806,0.00592,Soluble,Low,Yes,No,No,No,Yes,No,No,-3.95,1,1,0,0,2,0.55,0,1,2,4.44
Camphor,O=C1CC2C(C1(C)CC2)(C)C,C10H16O,152.23,11,0,0.9,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.85,2.37,-2.16,1.04,0.00686,Soluble,-2.18,1.0,0.00657,Soluble,-2.6,0.383,0.00252,Soluble,High,Yes,No,No,No,No,No,No,-5.67,0,1,0,0,2,0.55,0,0,1,3.22
Methacroleine,CC(=C)C=O,C4H6O,70.09,5,0,0.25,1,1,0,21.07,17.07,1.25,0.69,0.76,0.49,0.58,0.76,-0.64,15.9,0.227,Very soluble,-0.63,16.6,0.237,Very soluble,-0.52,21.3,0.304,Soluble,High,No,No,No,No,No,No,No,-6.24,0,3,0,0,3,0.55,0,2,1,1.02
p-Cymene,Cc1ccc(cc1)C(C)C,C10H14,134.22,10,6,0.4,1,0,0,45.99,0.0,2.51,4.1,3.12,4.47,3.29,3.5,-3.63,0.0312,0.000233,Soluble,-3.81,0.021,0.000156,Soluble,-3.57,0.0358,0.000267,Soluble,Low,Yes,No,No,No,No,Yes,No,-4.21,1,1,0,0,2,0.55,0,0,2,1.0
Camphene,C=C1C2CCC(C1(C)C)C2,C10H16,136.23,10,0,0.8,0,0,0,45.22,0.0,2.58,4.22,3.0,4.29,3.08,3.43,-3.34,0.0618,0.000454,Soluble,-3.93,0.016,0.000117,Soluble,-2.48,0.455,0.00334,Soluble,Low,Yes,No,No,No,Yes,No,No,-4.13,1,1,0,0,2,0.55,0,1,2,3.5
Alpha-phellandrene,CC1=CCC(C=C1)C(C)C,C10H16,136.23,10,0,0.6,1,0,0,47.12,0.0,2.64,3.21,3.16,3.27,2.55,2.97,-2.64,0.311,0.00229,Soluble,-2.88,0.179,0.00131,Soluble,-1.78,2.27,0.0167,Soluble,Low,Yes,No,No,No,No,No,No,-4.85,0,1,0,0,2,0.55,0,0,1,4.15
Alpha-terpinene,CC1=CC=C(CC1)C(C)C,C10H16,136.23,10,0,0.6,1,0,0,47.12,0.0,2.7,4.25,3.31,3.27,2.95,3.3,-3.3,0.0689,0.000506,Soluble,-3.96,0.0149,0.000109,Soluble,-2.23,0.806,0.00592,Soluble,Low,Yes,No,No,No,No,No,No,-4.11,0,1,0,0,2,0.55,0,0,2,3.63
Alpha-terpineol,CC1=CCC(CC1)C(O)(C)C,C10H18O,154.25,11,0,0.8,1,1,1,48.8,20.23,2.51,3.39,2.5,2.3,2.17,2.58,-2.87,0.21,0.00136,Soluble,-3.49,0.0495,0.000321,Soluble,-1.69,3.17,0.0206,Soluble,High,Yes,No,No,No,No,No,No,-4.83,0,1,0,0,2,0.55,0,1,1,3.24
Alpha-thujene,CC1=CCC2(C1C2)C(C)C,C10H16,136.23,10,0,0.8,1,0,0,45.22,0.0,2.67,2.85,3.0,4.29,2.95,3.15,-2.41,0.525,0.00385,Soluble,-2.51,0.422,0.0031,Soluble,-2.23,0.806,0.00592,Soluble,Low,Yes,No,No,No,No,No,No,-5.11,1,1,0,0,2,0.55,0,1,1,3.99
Alpha-thujone,O=C1CC2(C(C1C)C2)C(C)C,C10H16O,152.23,11,0,0.9,1,1,0,45.9,17.07,2.27,2.27,2.26,2.3,2.63,2.35,-2.15,1.08,0.00711,Soluble,-2.27,0.827,0.00543,Soluble,-2.15,1.08,0.0071,Soluble,High,Yes,No,No,No,No,No,No,-5.62,0,1,0,0,2,0.55,0,0,1,2.79
Artemisia acetate,C=CC(C(C=C(C)C)OC(=O)C)(C)C,C12H20O2,196.29,14,0,0.58,5,2,0,59.87,26.3,2.72,3.63,3.1,2.95,2.81,3.04,-3.01,0.19,0.000969,Soluble,-3.87,0.0265,0.000135,Soluble,-2.14,1.41,0.00719,Soluble,High,Yes,No,No,No,No,No,No,-4.92,0,0,0,0,1,0.55,0,1,2,3.23
Artemisia alcohol,C=CC(C(C=C(C)C)O)(C)C,C10H18O,154.25,11,0,0.6,3,1,1,50.14,20.23,2.62,3.06,2.53,2.59,2.18,2.59,-2.53,0.459,0.00298,Soluble,-3.15,0.109,0.000706,Soluble,-1.47,5.21,0.0338,Soluble,High,Yes,No,No,No,No,No,No,-5.07,0,1,0,0,2,0.55,0,1,1,3.08
Artemisia ketone,C=CC(C(=O)C=C(C)C)(C)C,C10H16O,152.23,11,0,0.5,3,1,0,49.18,17.07,2.46,3.07,2.73,2.49,2.5,2.65,-2.52,0.46,0.00302,Soluble,-3.1,0.122,0.000803,Soluble,-1.95,1.73,0.0114,Soluble,High,Yes,No,No,No,No,No,No,-5.05,0,1,0,0,2,0.55,0,2,1,2.67
Artemisyl acetate,C=CC(C(C=C(C)C)OC(=O)C)(C)C,C12H20O2,196.29,14,0,0.58,5,2,0,59.87,26.3,2.72,3.63,3.1,2.95,2.81,3.04,-3.01,0.19,0.000969,Soluble,-3.87,0.0265,0.000135,Soluble,-2.14,1.41,0.00719,Soluble,High,Yes,No,No,No,No,No,No,-4.92,0,0,0,0,1,0.55,0,1,2,3.23
Beta-ocimene,C=CC(=CCC=C(C)C)C,C10H16,136.23,10,0,0.4,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,2.88,3.4,-3.17,0.092,0.000675,Soluble,-3.97,0.0145,0.000107,Soluble,-2.04,1.24,0.0091,Soluble,Low,Yes,No,No,No,No,No,No,-4.11,0,1,0,0,2,0.55,0,2,2,3.63
Beta-pinene,C=C1CCC2CC1C2(C)C,C10H16,136.23,10,0,0.8,0,0,0,45.22,0.0,2.59,4.16,3.0,4.29,3.08,3.42,-3.31,0.0674,0.000495,Soluble,-3.87,0.0185,0.000136,Soluble,-2.48,0.455,0.00334,Soluble,Low,Yes,No,No,No,Yes,No,No,-4.18,1,1,0,0,2,0.55,0,1,2,3.73
Beta-thujone,O=C1CC2(C(C1C)C2)C(C)C,C10H16O,152.23,11,0,0.9,1,1,0,45.9,17.07,2.27,2.27,2.26,2.3,2.63,2.35,-2.15,1.08,0.00711,Soluble,-2.27,0.827,0.00543,Soluble,-2.15,1.08,0.0071,Soluble,High,Yes,No,No,No,No,No,No,-5.62,0,1,0,0,2,0.55,0,0,1,2.79
Borneol,OC1CC2C(C1(C)CC2)(C)C,C10H18O,154.25,11,0,1.0,0,1,1,46.6,20.23,2.29,2.72,2.19,2.45,2.27,2.38,-2.51,0.477,0.00309,Soluble,-2.8,0.245,0.00159,Soluble,-1.91,1.92,0.0124,Soluble,High,Yes,No,No,No,No,No,No,-5.31,0,1,0,0,2,0.55,0,0,1,3.43
Bornyl acetate,CC(=O)OC1CC2C(C1(C)CC2)(C)C,C12H20O2,196.29,14,0,0.92,2,2,0,56.33,26.3,2.5,4.3,2.76,2.76,2.66,3.0,-3.63,0.0456,0.000232,Soluble,-4.57,0.00534,2.72e-05,Moderately soluble,-2.58,0.52,0.00265,Soluble,High,Yes,No,No,No,Yes,No,No,-4.44,0,0,0,0,1,0.55,0,0,2,3.64
Carvacrol,CC(c1ccc(c(c1)O)C)C,C10H14O,150.22,11,6,0.4,1,1,1,48.01,20.23,2.24,3.49,2.82,2.76,2.79,2.82,-3.31,0.074,0.000492,Soluble,-3.6,0.0379,0.000253,Soluble,-3.01,0.146,0.000971,Soluble,High,Yes,No,Yes,No,No,No,No,-4.74,0,1,0,0,2,0.55,0,0,1,1.0
Carvone,CC(=C)C1CC=C(C(=O)C1)C,C10H14O,150.22,11,0,0.5,1,1,0,47.32,17.07,2.27,2.71,2.49,2.1,2.64,2.44,-2.41,0.581,0.00387,Soluble,-2.72,0.285,0.0019,Soluble,-2.16,1.04,0.00695,Soluble,High,Yes,No,No,No,No,No,No,-5.29,0,1,0,0,2,0.55,0,1,1,3.33
Chrysanthenone,CC1=CCC2C(=O)C1C2(C)C,C10H14O,150.22,11,0,0.7,0,1,0,45.42,17.07,2.09,1.71,2.18,2.2,2.45,2.12,-1.85,2.13,0.0142,Very soluble,-1.68,3.11,0.0207,Very soluble,-2.13,1.12,0.00743,Soluble,High,Yes,No,No,No,No,No,No,-6.0,0,1,0,0,2,0.55,0,1,1,4.6
Cis-sabinene hydrate,CC(C12CCC(C2C1)(C)O)C,C10H18O,154.25,11,0,1.0,1,1,1,46.9,20.23,2.47,2.12,2.19,2.45,2.44,2.33,-2.07,1.33,0.00859,Soluble,-2.18,1.03,0.00667,Soluble,-1.91,1.92,0.0124,Soluble,High,Yes,No,No,No,No,No,No,-5.74,0,1,0,0,2,0.55,0,0,1,2.82
Fenchone,O=C1C2(C)CCC(C1(C)C)C2,C10H16O,152.23,11,0,0.9,0,1,0,45.64,17.07,2.21,3.52,2.4,2.3,2.85,2.66,-3.0,0.152,0.000997,Soluble,-3.56,0.0417,0.000274,Soluble,-2.6,0.383,0.00252,Soluble,High,Yes,No,No,No,No,No,No,-4.73,0,1,0,0,2,0.55,0,0,2,3.22
Filifolone,CC1=CCC2C1C(=O)C2(C)C,C10H14O,150.22,11,0,0.7,0,1,0,45.42,17.07,2.18,1.68,2.18,2.2,2.45,2.14,-1.83,2.22,0.0148,Very soluble,-1.65,3.34,0.0222,Very soluble,-2.13,1.12,0.00743,Soluble,High,Yes,No,No,No,No,No,No,-6.02,0,1,0,0,2,0.55,0,1,1,4.05
Gamma-terpinene,CC1=CCC(=CC1)C(C)C,C10H16,136.23,10,0,0.6,1,0,0,47.12,0.0,2.73,4.5,3.31,3.27,2.95,3.35,-3.45,0.0479,0.000352,Soluble,-4.22,0.00819,6.01e-05,Moderately soluble,-2.23,0.806,0.00592,Soluble,Low,Yes,No,No,No,No,No,No,-3.94,0,1,0,0,2,0.55,0,1,2,3.11
Geranyl acetate,CC(=CCOC(=O)C)CCC=C(C)C,C12H20O2,196.29,14,0,0.58,6,2,0,60.13,26.3,2.83,4.04,3.24,2.95,2.98,3.21,-3.21,0.122,0.000622,Soluble,-4.3,0.00993,5.06e-05,Moderately soluble,-2.52,0.597,0.00304,Soluble,High,Yes,No,No,No,No,No,No,-4.63,0,0,0,0,1,0.55,0,1,2,2.72
Geranyl isobutanoate,CC(=CCOC(=O)C(C)C)CCC=C(C)C,C14H24O2,224.34,16,0,0.64,7,2,0,69.75,26.3,3.75,5.08,3.88,3.48,3.68,3.97,-3.97,0.0241,0.000107,Soluble,-5.38,0.000946,4.22e-06,Moderately soluble,-2.96,0.248,0.00111,Soluble,High,Yes,No,No,No,No,No,No,-4.06,0,0,0,0,1,0.55,0,1,2,2.91
Isolyratol,C=CC(C(C(=C)C)O)C(=C)C,C10H16O,152.23,11,0,0.4,4,1,1,49.92,20.23,2.52,3.18,2.3,2.49,2.34,2.57,-2.52,0.456,0.003,Soluble,-3.28,0.0806,0.00053,Soluble,-1.5,4.84,0.0318,Soluble,High,Yes,No,No,No,No,No,No,-4.97,0,1,0,0,2,0.55,0,1,1,2.93
Isopulegol,CC1CCC(C(C1)O)C(=C)C,C10H18O,154.25,11,0,0.8,1,1,1,48.76,20.23,2.42,2.95,2.36,2.3,2.06,2.42,-2.59,0.398,0.00258,Soluble,-3.04,0.142,0.000918,Soluble,-1.49,5.05,0.0327,Soluble,High,Yes,No,No,No,No,No,No,-5.15,0,1,0,0,2,0.55,0,1,1,2.98
Limonene,CC1=CCC(CC1)C(=C)C,C10H16,136.23,10,0,0.6,1,0,0,47.12,0.0,2.72,4.57,3.31,3.27,2.97,3.37,-3.5,0.0433,0.000318,Soluble,-4.29,0.00693,5.09e-05,Moderately soluble,-2.26,0.754,0.00553,Soluble,Low,Yes,No,No,No,Yes,No,No,-3.89,0,1,0,0,2,0.55,0,1,2,3.46
Lyratal,C=CC(C(=C)C)C=C(C=O)C,C10H14O,150.22,11,0,0.3,4,1,0,48.96,17.07,2.32,2.85,2.51,2.4,2.65,2.54,-2.3,0.748,0.00498,Soluble,-2.87,0.204,0.00136,Soluble,-1.61,3.65,0.0243,Soluble,High,Yes,No,No,No,No,No,No,-5.19,0,1,0,0,2,0.55,0,3,1,3.05
Lyratol,C=CC(C(=C)C)C=C(CO)C,C10H16O,152.23,11,0,0.4,4,1,1,49.92,20.23,2.66,2.97,2.3,2.49,2.34,2.55,-2.39,0.619,0.00406,Soluble,-3.06,0.133,0.000875,Soluble,-1.5,4.84,0.0318,Soluble,High,Yes,No,No,No,No,No,No,-5.12,0,1,0,0,2,0.55,0,1,1,3.19
Lyratyl acetate,C=CC(C(=C)C)C=C(COC(=O)C)C,C12H18O2,194.27,14,0,0.42,6,2,0,59.66,26.3,3.14,3.55,2.87,2.86,2.97,3.08,-2.88,0.253,0.0013,Soluble,-3.79,0.0317,0.000163,Soluble,-2.17,1.31,0.00676,Soluble,High,Yes,No,No,No,No,No,No,-4.96,0,0,0,0,1,0.55,0,1,2,3.13
Myrcene,C=CC(=C)CCC=C(C)C,C10H16,136.23,10,0,0.4,4,0,0,48.76,0.0,2.89,4.17,3.48,3.56,3.05,3.43,-3.05,0.122,0.000896,Soluble,-3.88,0.018,0.000132,Soluble,-2.42,0.524,0.00385,Soluble,Low,Yes,No,No,No,No,No,No,-4.17,0,1,0,0,2,0.55,0,2,2,2.85
Myrtenol,OCC1=CCC2CC1C2(C)C,C10H16O,152.23,11,0,0.8,1,1,1,46.38,20.23,2.34,3.22,1.97,2.3,2.15,2.4,-2.75,0.273,0.00179,Soluble,-3.32,0.0733,0.000481,Soluble,-1.69,3.14,0.0207,Soluble,High,Yes,No,No,No,No,No,No,-4.94,0,1,0,0,2,0.55,0,1,1,4.22
Neral,O=CC=C(CCC=C(C)C)C,C10H16O,152.23,11,0,0.5,4,1,0,49.44,17.07,2.47,3.03,2.88,2.49,2.65,2.71,-2.43,0.567,0.00373,Soluble,-3.05,0.134,0.000883,Soluble,-1.96,1.66,0.0109,Soluble,High,Yes,No,No,No,No,No,No,-5.08,0,1,0,0,2,0.55,0,3,1,2.49
