Chemical_Name,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Ridentin,OC1CC(O)C(=C)CCC2C(C=C1C)OC(=O)C2=C,C15H20O4,264.32,19,0,0.53,0,4,2,72.18,66.76,2.04,-0.08,1.49,1.53,1.72,1.34,-1.43,9.86,0.0373,Very soluble,-0.87,35.6,0.135,Very soluble,-1.69,5.46,0.0207,Soluble,High,Yes,No,No,No,No,No,No,-7.97,0,0,0,0,0,0.55,0,2,0,4.85
Achillin,CC1C(=O)OC2C1CCC(=C1C2C(=CC1=O)C)C,C15H18O3,246.3,18,0,0.6,0,3,0,68.41,43.37,2.33,1.62,2.42,2.38,2.64,2.28,-2.39,1.01,0.0041,Soluble,-2.14,1.77,0.00719,Soluble,-2.69,0.501,0.00203,Soluble,High,Yes,No,No,No,No,No,No,-6.65,0,0,0,0,0,0.55,0,0,1,4.35
Alpha-bulnesene,CC(=C)C1CCC(=C2C(C1)C(C)CC2)C,C15H24,204.35,15,0,0.73,1,0,0,69.04,0.0,3.42,4.61,4.73,4.63,4.14,4.31,-3.95,0.0232,0.000113,Soluble,-4.33,0.00945,4.62e-05,Moderately soluble,-3.55,0.0579,0.000283,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.27,1,0,0,0,1,0.55,0,1,2,4.32
Alpha-copaene,CC(C1CCC2(C3C1C2C(=CC3)C)C)C,C15H24,204.35,15,0,0.87,1,0,0,67.14,0.0,3.4,4.47,4.27,5.65,3.73,4.3,-3.86,0.0284,0.000139,Soluble,-4.19,0.0132,6.46e-05,Moderately soluble,-3.07,0.174,0.000851,Soluble,Low,Yes,No,Yes,Yes,Yes,No,No,-4.37,1,0,0,0,1,0.55,0,1,2,4.62
Alpha-himachalene,CC1=CC2C(CC1)C(=C)CCCC2(C)C,C15H24,204.35,15,0,0.73,0,0,0,68.78,0.0,3.24,4.46,4.73,4.63,4.19,4.25,-3.92,0.0248,0.000121,Soluble,-4.18,0.0135,6.62e-05,Moderately soluble,-3.77,0.0349,0.000171,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.38,1,0,0,0,1,0.55,0,1,2,4.15
Alpha-humulene,CC1=CCC(C)(C)C=CCC(=CCC1)C,C15H24,204.35,15,0,0.6,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,3.91,4.26,-3.97,0.0217,0.000106,Soluble,-4.27,0.0109,5.34e-05,Moderately soluble,-3.52,0.0619,0.000303,Soluble,Low,No,No,No,No,Yes,No,No,-4.32,1,0,0,0,1,0.55,0,1,2,3.66
Alpha-ionone,CC(=O)C=CC1C(=CCCC1(C)C)C,C13H20O,192.3,14,0,0.62,2,1,0,61.48,17.07,2.81,3.85,3.51,2.94,3.41,3.31,-3.33,0.0908,0.000472,Soluble,-3.9,0.0239,0.000125,Soluble,-2.65,0.433,0.00225,Soluble,High,Yes,No,No,No,Yes,No,No,-4.74,0,0,0,0,2,0.55,0,2,2,3.53
Alpha-longipinene,CC1=CCC2C3C1C2(C)CCCC3(C)C,C15H24,204.35,15,0,0.87,0,0,0,66.88,0.0,3.25,4.62,4.42,5.65,3.91,4.37,-4.02,0.0196,9.6e-05,Moderately soluble,-4.35,0.00923,4.51e-05,Moderately soluble,-3.52,0.0619,0.000303,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.27,1,0,0,0,1,0.55,0,1,2,4.48
Artecalin,O=C1CC(O)C2(C(C1C)C1OC(=O)C(=C)C1CC2)C,C15H20O4,264.32,19,0,0.73,0,4,1,69.79,63.6,1.88,1.41,1.47,1.62,2.03,1.68,-2.37,1.14,0.00429,Soluble,-2.35,1.18,0.00447,Soluble,-2.15,1.88,0.0071,Soluble,High,Yes,No,No,No,No,No,No,-6.91,0,0,0,0,0,0.55,0,1,0,4.15
Artemisin,OC1CC2(C)C=CC(=O)C(=C2C2C1C(C)C(=O)O2)C,C15H18O4,262.3,19,0,0.6,0,4,1,69.32,63.6,1.86,1.14,1.39,1.53,1.74,1.53,-2.18,1.72,0.00654,Soluble,-2.07,2.23,0.00852,Soluble,-1.88,3.43,0.0131,Soluble,High,Yes,No,No,No,No,No,No,-7.09,0,0,0,0,0,0.55,0,0,0,4.54
Beta-caryophyllene,CC1=CCCC(=C)C2C(CC1)C(C2)(C)C,C15H24,204.35,15,0,0.73,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.19,4.24,-3.87,0.0278,0.000136,Soluble,-4.1,0.0164,8.01e-05,Moderately soluble,-3.77,0.0349,0.000171,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.44,1,0,0,0,1,0.55,0,1,2,4.51
Beta-chamigrene,CC1=CCC2(CC1)C(=C)CCCC2(C)C,C15H24,204.35,15,0,0.73,0,0,0,68.52,0.0,3.2,4.67,4.87,4.63,4.59,4.39,-4.05,0.0183,8.93e-05,Moderately soluble,-4.4,0.00819,4.01e-05,Moderately soluble,-4.22,0.0124,6.07e-05,Moderately soluble,Low,No,No,No,No,Yes,No,No,-4.23,1,0,0,0,1,0.55,0,1,2,4.35
Beta-copaen-4-alpha-ol,C=C1CCC2C(C1)C(O)(C(C)C)C1C2(C)C1,C15H24O,220.35,16,0,0.87,1,1,1,68.34,20.23,3.18,3.39,3.39,3.67,3.49,3.42,-3.28,0.117,0.00053,Soluble,-3.49,0.0707,0.000321,Soluble,-2.96,0.239,0.00109,Soluble,High,Yes,No,No,Yes,Yes,No,No,-5.24,0,0,0,0,1,0.55,0,1,1,3.69
Beta-elemene,C=CC1(C)CCC(CC1C(=C)C)C(=C)C,C15H24,204.35,15,0,0.6,3,0,0,70.42,0.0,3.37,6.11,4.75,4.53,4.5,4.65,-4.76,0.00357,1.74e-05,Moderately soluble,-5.89,0.000262,1.28e-06,Moderately soluble,-3.58,0.0536,0.000262,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.21,1,0,0,0,2,0.55,0,1,2,3.63
Beta-gurjunene,CC1CCC2C(C3C1CCC3=C)C2(C)C,C15H24,204.35,15,0,0.87,0,0,0,67.14,0.0,3.24,4.71,4.27,5.65,3.8,4.33,-4.07,0.0172,8.43e-05,Moderately soluble,-4.44,0.00744,3.64e-05,Moderately soluble,-3.32,0.0983,0.000481,Soluble,Low,Yes,No,Yes,Yes,Yes,No,No,-4.2,1,0,0,0,1,0.55,0,1,2,3.7
Beta-himachalene,CC1=CC2C(=C(C)CCCC2(C)C)CC1,C15H24,204.35,15,0,0.73,0,0,0,68.78,0.0,3.26,3.94,4.87,4.63,4.3,4.2,-3.59,0.0526,0.000258,Soluble,-3.64,0.0468,0.000229,Soluble,-3.97,0.0219,0.000107,Soluble,Low,No,No,No,No,Yes,No,No,-4.75,1,0,0,0,1,0.55,0,1,2,4.08
Beta-selinene,C=C1CCCC2(C1CC(CC2)C(=C)C)C,C15H24,204.35,15,0,0.73,1,0,0,68.78,0.0,3.28,5.44,4.73,4.63,4.43,4.5,-4.47,0.00695,3.4e-05,Moderately soluble,-5.2,0.0013,6.36e-06,Moderately soluble,-3.8,0.0327,0.00016,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.68,1,0,0,0,2,0.55,0,1,2,3.42
Bicyclogermacrene,CC1=CCCC(=CC2C(CC1)C2(C)C)C,C15H24,204.35,15,0,0.73,0,0,0,68.78,0.0,3.34,4.14,4.73,4.63,3.91,4.15,-3.72,0.0394,0.000193,Soluble,-3.85,0.029,0.000142,Soluble,-3.52,0.0619,0.000303,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.61,1,0,0,0,1,0.55,0,1,2,4.34
Cryptomeridiol,CC(C1CCC2(C(C1)C(C)(O)CCC2)C)(O)C,C15H28O2,240.38,17,0,1.0,1,2,2,72.13,40.46,2.88,2.95,3.11,2.88,2.85,2.94,-3.12,0.181,0.000754,Soluble,-3.46,0.083,0.000345,Soluble,-2.63,0.567,0.00236,Soluble,High,Yes,No,No,No,No,No,No,-5.67,0,0,0,0,0,0.55,0,0,1,3.55
Cyclosativene,CC(C1CCC2(C3C1C1C(C21C)C3)C)C,C15H24,204.35,15,0,1.0,1,0,0,65.24,0.0,3.24,4.87,3.96,5.8,3.73,4.32,-4.11,0.0159,7.78e-05,Moderately soluble,-4.6,0.00508,2.48e-05,Moderately soluble,-3.07,0.174,0.000851,Soluble,Low,Yes,No,Yes,Yes,Yes,No,No,-4.09,1,0,0,0,1,0.55,0,0,2,3.94
Dehydroleucodin,CC1=CC(=O)C2=C(C)CCC3C(C12)OC(=O)C3=C,C15H16O3,244.29,18,0,0.47,0,3,0,67.94,43.37,2.29,1.51,2.34,2.29,2.91,2.27,-2.31,1.21,0.00494,Soluble,-2.03,2.29,0.00936,Soluble,-2.92,0.292,0.0012,Soluble,High,Yes,No,No,No,No,No,No,-6.72,0,0,0,0,0,0.55,0,1,1,4.14
Dehydromatricarin,CC(=O)OC1CC(=C2C(C3C1C(=C)C(=O)O3)C(=CC2=O)C)C,C17H18O5,302.32,22,0,0.47,2,5,0,78.84,69.67,2.15,1.11,1.88,1.83,2.46,1.89,-2.28,1.58,0.00523,Soluble,-2.17,2.06,0.00682,Soluble,-2.75,0.538,0.00178,Soluble,High,Yes,No,No,No,No,No,No,-7.36,0,0,0,0,0,0.55,0,2,0,4.55
Dentatin-A,C=C1CCC(C2(C1C1OC(=O)C(=C)C1C(C2)O)C)O,C15H20O4,264.32,19,0,0.67,0,4,2,70.28,66.76,2.03,1.07,1.18,1.62,1.72,1.52,-2.15,1.86,0.00703,Soluble,-2.06,2.28,0.00864,Soluble,-1.69,5.46,0.0207,Soluble,High,Yes,Yes,No,No,No,No,No,-7.15,0,0,0,0,0,0.55,0,2,0,4.36
Epoxyfarnochrol,COc1cc2ccc(=O)oc2c(c1OCC=C(CCC=C(CCC1OC1(C)C)C)C)OC,C26H34O6,442.54,32,10,0.5,11,6,0,127.32,70.43,5.04,5.74,5.82,3.06,6.9,5.31,-5.71,0.000872,1.97e-06,Moderately soluble,-6.99,4.56e-05,1.03e-07,Poorly soluble,-7.29,2.26e-05,5.11e-08,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-4.92,0,1,1,0,1,0.55,0,3,3,4.96
Farnochrol,COc1cc2ccc(=O)oc2c(c1OCC=C(CCC=C(CCC=C(C)C)C)C)OC,C26H34O5,426.55,31,10,0.42,11,5,0,127.84,57.9,4.89,7.04,6.61,3.8,7.07,5.88,-6.43,0.000158,3.69e-07,Poorly soluble,-8.07,3.61e-06,8.46e-09,Poorly soluble,-7.35,1.91e-05,4.49e-08,Poorly soluble,High,No,No,No,No,Yes,No,Yes,-3.9,0,1,1,1,1,0.55,0,2,3,4.5
Gamma-curcumene,CC(=CCCC(C1=CC=C(CC1)C)C)C,C15H24,204.35,15,0,0.6,4,0,0,70.68,0.0,3.7,6.22,5.04,4.53,4.48,4.79,-4.76,0.00354,1.73e-05,Moderately soluble,-6.01,0.000202,9.87e-07,Poorly soluble,-3.55,0.0573,0.000281,Soluble,Low,No,No,No,No,Yes,No,No,-3.13,1,0,0,0,2,0.55,0,1,2,4.52
Gamma-himachalene,CC1=CC2C(CC1)C(=CCCC2(C)C)C,C15H24,204.35,15,0,0.73,0,0,0,68.78,0.0,3.26,4.22,4.73,4.63,3.91,4.15,-3.77,0.0351,0.000172,Soluble,-3.93,0.024,0.000117,Soluble,-3.52,0.0619,0.000303,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.55,1,0,0,0,1,0.55,0,1,2,4.38
Germacrene-D,CC1=CCCC(=C)C=CC(CC1)C(C)C,C15H24,204.35,15,0,0.6,1,0,0,70.68,0.0,3.32,4.74,4.89,4.53,4.01,4.3,-4.03,0.0192,9.39e-05,Moderately soluble,-4.47,0.00693,3.39e-05,Moderately soluble,-3.32,0.0983,0.000481,Soluble,Low,No,No,No,No,Yes,No,No,-4.18,1,0,0,0,1,0.55,0,1,2,4.55
Longicyclene,CC1(C)CCCC2(C3C1C1C(C21C)C3)C,C15H24,204.35,15,0,1.0,0,0,0,64.98,0.0,3.13,5.01,4.1,5.8,3.91,4.39,-4.26,0.0111,5.45e-05,Moderately soluble,-4.75,0.00363,1.78e-05,Moderately soluble,-3.52,0.0619,0.000303,Soluble,Low,Yes,No,Yes,Yes,Yes,No,No,-3.99,1,0,0,0,2,0.55,0,0,2,3.85
Longifolene,C=C1C2CCC3C1(C)CCCC(C23)(C)C,C15H24,204.35,15,0,0.87,0,0,0,66.88,0.0,3.14,5.08,4.42,5.65,4.19,4.5,-4.31,0.0101,4.93e-05,Moderately soluble,-4.82,0.00307,1.5e-05,Moderately soluble,-3.77,0.0349,0.000171,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.94,1,0,0,0,2,0.55,0,1,2,3.6
Nerolidol,C=CC(CCC=C(CCC=C(C)C)C)(O)C,C15H26O,222.37,16,0,0.6,7,1,1,74.0,20.23,3.64,4.83,4.4,3.86,4.21,4.19,-3.8,0.0353,0.000159,Soluble,-4.99,0.00229,1.03e-05,Moderately soluble,-3.15,0.156,0.0007,Soluble,High,Yes,No,Yes,No,Yes,No,No,-4.23,0,0,0,0,1,0.55,0,1,2,3.53
Parishin-A,OCC1OC(Oc2ccc(cc2)COC(=O)C(CC(=O)OCc2ccc(cc2)OC2OC(CO)C(C(C2O)O)O)(CC(=O)OCc2ccc(cc2)OC2OC(CO)C(C(C2O)O)O)O)C(C(C1O)O)O,C45H56O25,996.91,70,18,0.53,23,25,13,226.33,397.27,0.94,-3.03,-5.19,-5.23,-2.73,-3.05,-2.78,1.64,0.00164,Soluble,-4.75,0.0177,1.78e-05,Moderately soluble,-0.52,298.0,0.299,Soluble,Low,No,Yes,No,No,No,No,No,-14.53,3,4,2,1,6,0.17,0,1,2,8.42
Parishin-B,OCC1OC(Oc2ccc(cc2)COC(=O)CC(C(=O)OCc2ccc(cc2)OC2OC(CO)C(C(C2O)O)O)(CC(=O)O)O)C(C(C1O)O)O,C32H40O19,728.65,51,12,0.53,17,19,10,163.38,308.89,2.04,-2.69,-3.88,-3.7,-2.22,-2.09,-1.72,14.0,0.0193,Very soluble,-3.25,0.413,0.000567,Soluble,0.08,884.0,1.21,Soluble,Low,No,No,No,No,No,No,No,-12.65,3,4,2,1,6,0.11,0,1,2,6.68
Parishin-C,OCC1OC(Oc2ccc(cc2)COC(=O)CC(C(=O)O)(CC(=O)OCc2ccc(cc2)OC2OC(CO)C(C(C2O)O)O)O)C(C(C1O)O)O,C32H40O19,728.65,51,12,0.53,17,19,10,163.38,308.89,2.33,-2.69,-3.88,-3.7,-2.22,-2.03,-1.72,14.0,0.0193,Very soluble,-3.25,0.413,0.000567,Soluble,0.08,884.0,1.21,Soluble,Low,No,No,No,No,No,No,No,-12.65,3,4,2,1,6,0.11,0,1,2,6.66
Santonin,CC1C(=O)OC2C1CCC1(C2=C(C)C(=O)C=C1)C,C15H18O3,246.3,18,0,0.6,0,3,0,68.15,43.37,2.16,2.29,2.42,2.38,2.64,2.38,-2.81,0.382,0.00155,Soluble,-2.84,0.357,0.00145,Soluble,-2.69,0.501,0.00203,Soluble,High,Yes,No,No,No,No,No,No,-6.18,0,0,0,0,0,0.55,0,0,1,4.27
Silphinene,CC1CCC2C31C=CCC3(C)CC2(C)C,C15H24,204.35,15,0,0.87,0,0,0,66.62,0.0,3.17,5.25,4.42,5.65,3.91,4.48,-4.41,0.00787,3.85e-05,Moderately soluble,-5.0,0.00205,1e-05,Moderately soluble,-3.52,0.0619,0.000303,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.82,1,0,0,0,2,0.55,0,1,2,5.04
Spathulenol,C=C1CCC2C(C3C1CCC3(C)O)C2(C)C,C15H24O,220.35,16,0,0.87,0,1,1,68.34,20.23,2.88,3.11,3.39,3.67,3.27,3.26,-3.17,0.151,0.000683,Soluble,-3.2,0.138,0.000626,Soluble,-2.96,0.239,0.00109,Soluble,High,Yes,No,No,Yes,No,No,No,-5.44,0,0,0,0,1,0.55,0,1,1,3.78
Esculin,OCC1OC(Oc2cc3ccc(=O)oc3cc2O)C(C(C1O)O)O,C15H16O9,340.28,24,10,0.4,3,9,5,78.65,149.82,1.04,-0.61,-1.32,-1.48,-0.72,-0.62,-1.68,7.18,0.0211,Very soluble,-2.06,2.93,0.00862,Soluble,-0.82,50.9,0.15,Soluble,Low,No,No,No,No,No,No,No,-8.81,0,1,1,1,0,0.55,0,1,0,4.69
Axillarin,COc1c(O)cc2c(c1O)c(=O)c(c(o2)c1ccc(c(c1)O)O)OC,C17H14O8,346.29,25,16,0.12,3,8,4,89.0,129.59,2.37,2.46,2.3,-0.59,2.12,1.73,-3.81,0.0533,0.000154,Soluble,-4.83,0.00518,1.5e-05,Moderately soluble,-4.05,0.031,8.95e-05,Moderately soluble,High,No,No,Yes,No,Yes,Yes,Yes,-6.67,0,0,0,0,0,0.55,1,1,0,3.46
Esculetin,O=c1ccc2c(o1)cc(c(c2)O)O,C9H6O4,178.14,13,10,0.0,0,4,2,46.53,70.67,1.25,1.22,1.2,0.45,1.46,1.12,-2.28,0.93,0.00522,Soluble,-2.3,0.89,0.005,Soluble,-2.46,0.619,0.00348,Soluble,High,No,No,Yes,No,No,No,No,-6.52,0,1,0,0,1,0.55,1,2,1,2.61
Isoscopoletin,COc1cc2oc(=O)ccc2cc1O,C10H8O4,192.17,14,10,0.1,1,4,1,51.0,59.67,1.95,1.38,1.51,0.76,1.94,1.51,-2.36,0.832,0.00433,Soluble,-2.24,1.12,0.0058,Soluble,-3.17,0.131,0.000681,Soluble,High,Yes,No,Yes,No,No,No,No,-6.49,0,0,0,0,1,0.55,0,1,1,2.65
Apigenin,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,C15H10O5,270.24,20,16,0.0,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.52,2.11,-3.94,0.0307,0.000114,Soluble,-4.59,0.00688,2.55e-05,Moderately soluble,-4.4,0.0107,3.94e-05,Moderately soluble,High,No,No,Yes,No,No,Yes,Yes,-5.8,0,0,0,0,0,0.55,0,0,0,2.96
Eupafolin,COc1c(O)cc2c(c1O)c(=O)cc(o2)c1ccc(c(c1)O)O,C16H12O7,316.26,23,16,0.06,2,7,4,82.5,120.36,2.13,2.5,2.29,-0.31,2.06,1.74,-3.76,0.0551,0.000174,Soluble,-4.67,0.00671,2.12e-05,Moderately soluble,-3.94,0.0365,0.000115,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.45,0,0,0,0,0,0.55,1,1,0,3.18
Kaempferol,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,C15H10O6,286.24,21,16,0.0,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,2.03,1.58,-3.31,0.14,0.00049,Soluble,-3.86,0.0398,0.000139,Soluble,-3.82,0.0429,0.00015,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.7,0,0,0,0,0,0.55,0,0,0,3.14
Luteolin,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,C15H10O6,286.24,21,16,0.0,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,2.03,1.73,-3.71,0.0563,0.000197,Soluble,-4.51,0.00884,3.09e-05,Moderately soluble,-3.82,0.0429,0.00015,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.25,0,0,0,0,0,0.55,1,1,0,3.02
Penduletin,COc1c(oc2c(c1=O)c(O)c(c(c2)OC)OC)c1ccc(cc1)O,C18H16O7,344.32,25,16,0.17,4,7,2,91.44,98.36,2.84,3.14,2.9,0.17,3.12,2.43,-4.16,0.0237,6.88e-05,Moderately soluble,-4.88,0.00459,1.33e-05,Moderately soluble,-5.33,0.00163,4.72e-06,Moderately soluble,High,No,No,Yes,No,Yes,Yes,Yes,-6.17,0,0,0,0,0,0.55,0,0,0,3.52
Quercetagetin,Oc1ccc(cc1O)c1oc2cc(O)c(c(c2c(=O)c1O)O)O,C15H10O8,318.24,23,16,0.0,1,8,6,80.06,151.59,1.73,1.18,1.69,-1.08,1.06,0.92,-3.01,0.314,0.000988,Soluble,-3.96,0.035,0.00011,Soluble,-2.66,0.698,0.00219,Soluble,Low,No,No,Yes,No,No,No,Yes,-7.4,1,0,1,1,2,0.55,1,1,0,3.27
Quercetin,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,C15H10O7,302.24,22,16,0.0,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.54,1.23,-3.16,0.211,0.000698,Soluble,-3.91,0.0374,0.000124,Soluble,-3.24,0.173,0.000573,Soluble,High,No,No,Yes,No,No,Yes,Yes,-7.05,0,0,0,0,0,0.55,1,1,0,3.23
Scoparone,COc1cc2oc(=O)ccc2cc1OC,C11H10O4,206.19,15,10,0.18,2,4,0,55.47,48.67,2.23,1.71,1.81,1.05,2.42,1.84,-2.56,0.572,0.00277,Soluble,-2.35,0.926,0.00449,Soluble,-3.87,0.0276,0.000134,Soluble,High,Yes,No,Yes,No,No,No,No,-6.34,0,0,0,0,0,0.55,0,1,1,2.77
Skimmin,OCC1OC(Oc2ccc3c(c2)oc(=O)cc3)C(C(C1O)O)O,C15H16O8,324.28,23,10,0.4,3,8,4,76.63,129.59,1.34,-0.7,-1.03,-0.97,-0.25,-0.32,-1.53,9.5,0.0293,Very soluble,-1.55,9.22,0.0284,Very soluble,-1.41,12.6,0.0389,Soluble,High,No,No,No,No,No,No,No,-8.78,0,1,0,0,0,0.55,0,1,0,4.68
Umbelliferone,Oc1ccc2c(c1)oc(=O)cc2,C9H6O3,162.14,12,10,0.0,0,3,1,44.51,50.44,1.44,1.58,1.5,1.04,1.97,1.51,-2.46,0.566,0.00349,Soluble,-2.25,0.912,0.00562,Soluble,-3.03,0.153,0.000942,Soluble,High,Yes,No,Yes,No,No,No,No,-6.17,0,1,0,0,1,0.55,0,1,1,2.56
